,timeOnPage,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,interaction_count,mobile,x,y
78,3291,1881.0,5,0,7,2,0,0,0,2,2,2,2,0,0,0,0,0,143,94,156,0,0,0,4,0,-0.46686625,-1.6303211
79,71003,1978.0,2,0,118,70,0,0,2,6,10,6,10,0,0,4,2,0,650,484,2624,0,0,0,16,0,-4.231906,-5.8452635
80,344332,3430.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4063,7350,4874,1896,8089,0,0,0,-4.7017226,-6.434744
81,45890,3070.0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,151,365,2367,32925,0,1,0,-0.8964665,5.142587
82,13834,1576.800048828125,3,0,15,0,0,2,0,8,0,8,0,0,0,0,0,0,9927,1550,350,0,0,0,8,0,3.8002026,-4.012256
83,79874,3188.0,5,0,80,28,13,0,0,8,8,8,8,0,0,4,2,0,151,19824,11103,28854,1252,0,16,0,-6.190966,-0.01135653
84,57071,3365.0,5,0,61,24,19,2,6,6,10,6,10,1,1,2,2,1,7879,12644,18711,16388,965,0,16,0,-5.077668,0.7115336
85,81871,2346.0,3,0,11,1,3,10,2,12,2,12,2,1,0,0,0,0,13949,40607,20418,3254,0,0,14,0,-0.04020978,2.3279755
86,227030,3677.0,15,0,164,139,18,8,10,52,54,52,54,0,1,6,14,1,1223,54117,34868,74646,3894,5728,106,0,-6.0157857,0.256324
87,1063443,3279.0,6,0,199,77,12,2,2,8,10,8,10,0,0,4,2,0,37815,7337,19605,59285,975,0,18,0,-4.790871,-4.936595
88,209579,3169.0,10,0,180,51,18,2,4,16,14,16,14,2,2,4,8,2,39845,41586,48573,49691,7840,0,30,0,-4.2316623,-0.44465724
89,130613,3285.0,8,0,100,64,0,2,2,8,6,8,6,0,0,2,2,0,15934,18966,13601,31164,2767,0,14,0,-4.870174,-1.2184447
90,15781,2658.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,6919,1019,502,0,0,0,0,0.3875193,1.6667725
91,530516,3625.0,26,0,292,158,22,6,4,21,26,21,26,1,0,8,6,0,23683,22519,43290,367957,42338,8230,47,0,-9.009814,-2.109208
92,158712,3409.0,6,0,69,113,0,2,6,10,18,10,18,1,1,8,2,1,425,5274,36925,53416,1451,0,28,0,-7.5066495,0.5536524
93,188551,3052.0,5,0,110,52,0,8,0,12,8,12,8,1,0,2,2,0,55317,59152,43054,26858,219,0,20,0,-1.8051692,0.10738263
94,44091,369.0,1,0,18,15,0,0,0,2,2,2,2,0,0,0,0,0,40658,0,0,0,0,0,4,0,6.8193345,-7.602118
95,19725,108.0,0,0,25,7,0,0,0,10,2,10,2,0,0,0,0,0,154,0,0,0,0,0,12,0,-4.825671,-7.866944
96,30247,1153.0,2,0,24,34,0,0,0,4,4,4,4,0,0,0,0,0,28319,1903,0,0,0,0,8,0,5.607827,-6.860154
97,39939,3562.0,20,0,45,60,0,0,0,32,32,32,32,0,0,0,0,0,3284,1571,1112,1049,398,30589,64,0,-2.1076028,7.931394
98,459927,3300.0,10,0,99,78,23,2,4,20,30,20,30,0,2,4,4,2,28369,190925,22928,74865,4982,0,50,0,-2.011274,1.216185
