,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
1075,186710,7570.0,6,0,0,4,0.0,2,0,6418,14702,21336,3019,12319,8817,0,0,-55.456635,-28.060476
1076,272091,11763.0,13,22,0,10,46.0,2,0,2620,33176,27060,30568,30119,13126,132961,0,-35.398003,-45.536972
1077,37948,12347.0,6,0,0,13,8.0,2,0,845,1951,1714,2602,931,16191,8260,0,-24.693901,36.38588
1078,5715628,10199.2001953125,6,11,2,3,6.0,2,1,15924,21100,22080,24182,25895,25514,4500,0,44.37954,-32.87958
1079,94869,9800.0,11,0,2,1,0.0,2,1,1033,16616,14536,14649,12585,8334,14334,0,-42.45922,-4.4015126
1080,67653,8280.0,11,0,0,1,2.0,2,0,4063,4886,6431,3466,2487,14448,0,0,-42.5481,15.219354
1081,32954,9999.0,7,0,0,10,42.0,1,0,809,2769,4820,2270,856,15447,1690,0,-3.2536626,39.51736
1082,42339,6935.0,6,0,0,1,0.0,2,0,3051,4984,8050,5834,2050,100,0,0,-17.028738,27.82126
1083,114862,11498.0,6,27,0,13,124.0,2,0,160,1214,13814,4282,15951,53765,3803,0,-56.87543,6.420318
1084,426865,12215.0,19,30,2,1,5.0,2,2,35269,27564,17475,8013,5718,40655,281561,0,5.3384066,-44.89024
1085,19987,5462.0,9,0,0,0,17.0,2,0,1584,8201,4562,1117,1120,0,0,0,18.083609,22.609327
1086,111358,4401.0,7,0,0,0,9.0,2,0,4234,44665,58002,686,0,0,0,0,-28.012283,-4.6657195
1087,148539,8216.0,8,18,0,11,15.0,2,0,28484,12254,8946,3320,1746,16536,16848,0,-47.71913,-18.277962
1088,449449,4156.0,6,0,0,0,0.0,2,0,21943,193712,119184,661,0,0,0,0,0.81754035,-33.871536
1089,10853209,10582.0,15,64,0,6,99.0,2,0,168,1861,5610,306387,61325,10097379,88299,0,51.115078,-34.540817
1090,548813,7900.0,6,0,0,1,0.0,2,0,134,2167,8050,1691,2902,936,0,0,8.314575,-66.32771
1091,527578,8525.0,6,168,2,3,62.0,2,1,24355,43199,74596,33404,2871,144344,54896,0,6.3575654,-55.080326
1092,10519,12456.0,5,0,0,3,0.0,2,0,114,1192,174,47,0,0,6571,0,22.203743,46.27161
1093,822947,10558.400390625,13,57,2,3,168.0,2,1,93555,69297,94244,62273,242887,120892,126355,0,22.744167,-52.56835
1094,2991929,11799.0,16,0,0,4,26.0,2,0,2485002,10650,12423,13287,5763,15601,56844,0,31.358948,-25.179047
1095,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,33.170975,73.86823
1096,71609,11091.0,27,36,2,1,0.0,2,1,9270,7906,11241,2816,10449,4109,3416,0,-35.071476,13.963057
1097,130791,9500.0,11,0,0,1,4.0,2,0,74127,2066,4001,4016,3053,9766,22768,0,-8.222141,-11.47226
1098,183664,7107.0,20,31,0,1,46.0,1,0,3283,15505,22585,32643,107479,819,0,0,-24.326227,-30.733038
1099,11448961,4459.0,4,0,0,0,6.0,2,0,1306,5271,11432779,1803,0,0,0,0,45.17384,-28.415829
1100,19685,4084.0,9,0,0,0,0.0,2,0,166,1566,1402,199,0,0,0,0,17.1124,17.530348
