,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
15,63551,6197.0,5,0,0,1,0.0,0,0,2351,18678,9972,10108,4378,0,0,0,7.938354,-1.688983
16,579184,7762.0,6,0,0,1,0.0,2,0,136,3136,3426,458,1239,932,0,0,0.38543966,-0.55045205
17,80741,9120.0,4,29,2,6,34.0,1,1,818,1600,6699,5399,1633,39917,23475,0,7.8094506,5.7297344
18,875027,7638.0,11,60,2,1,28.0,2,2,38348,86930,189270,242317,228569,78508,0,0,10.592724,0.5434266
19,214225,7699.0,6,0,0,1,76.0,2,0,60820,47600,46853,25674,5268,11581,0,0,6.8003206,-2.5266762
20,58675,12917.0,11,82,0,3,1.0,2,0,1206,5448,4142,7590,2887,9458,16731,0,5.2146926,3.244103
21,444692,12417.0,13,0,0,1,39.0,2,0,43063,57741,14532,2517,1081,4273,6941,0,2.9274528,-1.670421
22,140571,13121.0,11,0,0,1,0.0,2,0,1050,666,1086,2702,1848,718,4869,0,2.4364102,-0.49961504
23,185656,11185.0,8,0,0,5,44.0,2,0,5765,30805,44507,8301,9302,38990,39557,0,6.916763,2.7969286
24,1453636,10799.0,13,0,0,1,23.0,1,0,869747,9485,24017,543357,1334,1167,2177,0,4.0680423,-4.891938
25,97039,12753.0,11,90,2,1,0.0,2,1,7828,6667,24025,8666,2784,23839,8236,0,7.3954883,2.2623868
26,70333,11154.0,13,0,2,1,0.0,2,1,1945,4571,11676,8211,14304,6398,1362,0,8.6519985,0.9613923
27,92143,8410.0,8,24,0,4,23.0,2,0,5178,925,15333,6584,28306,21001,11784,0,9.914905,2.9305995
28,25067,6672.0,6,0,0,1,1.0,2,0,968,5569,4407,4934,3088,164,0,0,6.7093697,-0.49866632
29,34891,7077.0,5,0,0,4,0.0,0,0,11676,4739,2357,1364,516,10675,0,0,6.6264367,0.9077228
30,34838,10481.0,3,0,0,1,0.0,0,0,15219,9449,0,0,0,0,7598,0,4.9260225,-3.82555
31,72063,11711.0,5,0,0,0,8.0,0,0,116,349,335,366,434,61332,5917,0,9.79901,7.1373334
32,108827199,4402.0,4,0,0,0,7.0,2,0,11430,74043,28119,866,0,0,0,0,-0.8508786,0.41189003
33,392936,9235.0,5,32,0,1,78.0,0,0,26338,51201,4361,62391,168288,51612,1693,0,11.209423,2.167415
34,198193,12576.0,6,13,0,1,50.0,2,0,716,4216,140779,2917,900,13873,7069,0,10.4517,-2.7990386
35,1099157,7008.0,12,0,0,3,82.0,2,0,981490,13738,33377,7130,3511,43531,0,0,3.2284951,-8.588204
36,433608,7948.0,6,85,2,9,0.0,2,1,20476,45606,56788,37608,166825,99119,0,0,10.912358,2.6082346
