,timeOnPage,userAgent,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,playLinear,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,x,y
1233,1046916,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3461.0,14,0,314,108,12,4,0,42,22,42,22,0,1,0,12,6,0,43873,17724,33735,944689,5966,864,-0.5514411330223083,-8.579248428344727
1234,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",0.0,0,0,7,13,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8.657624244689941,-0.542783260345459
1235,25220,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",2000.0,4,0,21,9,5,8,4,8,4,8,4,0,3,1,0,0,1,1337,2951,17849,0,0,0,-6.161266326904297,-0.4197770953178406
1236,5035545,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3460.0,11,0,192,66,34,2,2,12,12,12,12,0,0,0,4,4,0,597,25946,36208,73424,4965,11000,-5.791344165802002,5.778099536895752
1237,187614,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3292.222412109375,7,0,57,35,12,2,0,6,4,6,4,0,0,0,2,2,0,652,13205,9671,14008,650,0,-3.6504549980163574,3.9401092529296875
1238,122261,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2857.0,9,0,139,110,24,6,4,21,22,21,22,0,1,0,4,4,0,2169,13202,36870,36596,0,0,-3.551342487335205,-3.107430934906006
1239,32742311,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.84 Safari/537.36",3462.0,33,0,210,253,20,2,8,30,30,30,30,0,1,1,4,2,1,95014,88844,75048,61327,9295,11499,-6.29412317276001,6.901403903961182
1240,84083,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3555.0,5,0,121,55,1,0,0,8,10,8,10,0,0,0,4,2,0,21700,11009,16952,29887,1629,1490,1.7844682931900024,-3.330744981765747
1241,23893,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:62.0) Gecko/20100101 Firefox/62.0,3234.5,13,0,0,0,0,4,0,9,12,9,12,0,2,0,8,0,0,783,15733,2099,766,768,0,3.5344910621643066,0.6405333876609802
1242,175969,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",3231.0,5,0,104,103,29,2,6,11,14,11,14,0,0,1,2,2,1,15590,55207,38854,55739,2601,0,-0.2057400494813919,-1.8058736324310303
1243,23163,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",944.0,2,0,28,12,2,2,2,6,4,6,4,0,0,0,0,0,0,427,2076,0,0,0,0,-2.6601920127868652,5.018222332000732
1244,19519,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",938.0,2,0,5,5,5,0,0,2,2,2,2,0,0,0,0,0,0,10192,6476,0,0,0,0,3.7077431678771973,3.58701491355896
1245,54456,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1990.0,5,0,3,6,1,0,0,4,2,4,2,0,0,0,0,0,0,410,1837,38376,0,0,0,-6.331552982330322,-0.5946421027183533
1246,146473,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3601.0,17,0,199,81,10,4,2,28,22,28,22,0,1,0,4,2,0,4409,9197,24909,44396,22449,6313,-2.326676845550537,-2.918051242828369
1247,163590,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:53.0) Gecko/20100101 Firefox/53.0,3415.0,5,0,185,99,8,12,2,16,12,16,12,0,1,1,4,2,1,708,53359,28651,42668,10311,0,-0.5428746938705444,-0.9122380018234253
1248,33208,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.75 Safari/537.36",1366.0,2,0,6,9,4,1,0,2,2,2,2,0,0,0,0,0,0,462,6849,41,0,0,0,-0.8537552952766418,3.724778413772583
1249,114366,"Mozilla/5.0 (iPad; CPU OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",3675.0,8,0,0,0,0,0,0,12,8,12,8,0,1,0,2,4,0,792,34400,55536,16723,2005,1126,-3.0927045345306396,-0.3182303309440613
1250,36197,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,1752.0,6,0,17,19,0,0,0,1,4,1,4,0,0,0,0,0,0,22125,9040,1514,0,0,0,3.8166344165802,4.304625988006592
1251,116588,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,3449.0,6,0,34,30,13,4,6,8,10,8,10,0,0,0,2,2,0,21186,8622,12597,11066,1912,0,-1.9637259244918823,2.7213730812072754
1252,58591,"Mozilla/5.0 (X11; CrOS x86_64 10895.21.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.35 Safari/537.36",2617.0,6,0,37,23,8,0,0,4,4,4,4,0,0,0,0,0,0,2629,5945,1965,697,0,0,-2.452727794647217,4.757862567901611
1253,22563,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0,101.0,2,0,8,0,0,0,0,2,0,2,0,0,0,0,0,0,0,350,0,0,0,0,0,-4.505874156951904,8.061028480529785
1254,72050,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:61.0) Gecko/20100101 Firefox/61.0,3352.0,8,0,37,30,14,0,2,6,6,6,6,0,0,0,2,4,0,267,28773,5032,11566,444,0,0.5287102460861206,0.328677773475647
1255,139905,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3235.0,5,0,191,97,0,6,0,14,8,14,8,0,1,0,2,2,0,7782,30482,20833,36149,6717,0,-0.9671931266784668,-1.9340492486953735
