,timeOnPage,maxDepth,isInTune,clean,playRiff,playReference,autotuneGuitar,playNotes,playBeats,beatDiff,vizMode,guitarState,currentFrequency,targetString,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,timeSect7,timeSect8,timeSect9,timeSect10,timeSect11,timeSect12,timeSect13,x,y
111,228334,12047,7,3,2,2,10,8,22,121,3,5,290,163,284,6440,70088,800,9192,2786,15480,500,968,6388,50306,5204,7774,35264,1.31903998,1.400595721
112,573904,6746,0,1,0,2,2,0,0,0,0,5,26,14,481,6150,14417,150,2700,1134,1116,2084,866,1100,533,0,0,0,-6.446817184,-1.266724178
113,40778,9632,4,1,0,6,6,0,0,0,1,11,83,57,190,535,50,500,520,516,263,167,218,383,350,1949,18741,1434,-2.282530527,3.768671491
114,142984,5000,0,0,0,2,2,0,0,0,0,7,180,69,132,6616,76151,18468,7834,13367,649,484,0,0,0,0,0,0,2.386537867,-2.36607171
115,14006,9676,0,1,0,2,2,0,0,0,0,5,6,6,83,5472,3015,133,1384,617,84,1151,116,83,285,606,376,87,-4.047080054,0.716665891
116,16572,2024,0,0,0,0,0,0,0,0,0,2,15,9,703,1067,12921,716,0,0,0,0,0,0,0,0,0,0,2.061766885,-5.251772998
117,1036500,10100,45,4,2,4,4,12,8,0,0,5,331,104,2438,12160,79786,1438,32690,22238,4340,2876,1964,100676,26100,77702,580,8208,-3.971093474,-0.322708241
118,22865,6752,0,0,0,8,6,0,0,0,0,16,13,13,1255,901,4492,753,373,600,19,747,312,692,1583,0,0,0,-1.919499266,-0.199074171
119,547416,10917,2,7,0,15,14,18,4,0,0,28,714,168,11983,7265,159630,12394,27985,132265,5643,7985,11744,64748,22625,12543,2420,67520,1.085680428,0.282763554
120,7787,3862.727295,0,0,0,0,0,0,0,0,0,4,6,6,991,1306,1081,1734,1341,203,0,0,0,0,0,0,0,0,-3.510429715,-0.15615645
121,9734,593,0,0,0,0,0,0,0,0,0,0,0,0,1193,5361,0,0,0,0,0,0,0,0,0,0,0,0,-2.641466402,-5.829451641
122,136585,8774,12,5,0,4,4,12,10,0,1,9,99,39,1230,4973,30724,3171,2654,2965,6385,3402,1038,19127,24701,26867,4305,0,1.051057423,1.507819396
123,34462,7489,0,1,0,2,2,0,0,0,0,5,18,17,1016,1100,5234,1132,1852,10142,1862,1134,412,1636,3298,400,0,0,-0.737330648,0.664434597
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.999200855,0.753813422
125,115771,6478,0,3,0,2,2,12,0,0,0,5,83,65,4099,3368,12118,300,23769,21586,1800,23719,917,23217,236,0,0,0,-0.466027767,0.763894113
126,163679,8974,0,4,0,8,4,0,4,0,0,15,424,339,1600,717,585,105823,30806,4279,1285,3949,504,1150,10434,1700,816,0,-6.777508235,0.839424655
127,14339,9288,0,1,0,2,2,0,0,0,0,5,8,7,0,1500,717,115,836,230,136,113,3921,149,167,117,1289,4967,-3.188134922,3.562416303
128,14915,9947,0,1,0,2,2,0,0,0,0,5,6,6,216,1251,232,1084,1266,1000,1033,826,781,306,1544,1035,133,3515,-3.421048264,3.338923443
129,587607,8712,2,3,2,2,2,12,8,0,2,7,499,205,351,12302,102129,16587,7668,21603,3866,3284,328605,13781,24773,15783,34205,0,3.007854255,1.734984092
130,78500,8200,0,3,0,4,2,62,0,0,0,9,149,111,169,1165,633,2451,582,471,411,370,2531,117,10087,5249,0,0,-3.363946961,0.502900273
